Species,Wide_Vessel_Diameter
P. pseudota_RX,102.17
P. pseudota_RX,102.6
P. pseudota_RX,102.91
P. pseudota_RX,103.76
P. pseudota_RX,104.65
P. pseudota_RX,104.66
P. pseudota_RX,105.1
P. pseudota_RX,105.1
P. pseudota_RX,105.38
P. pseudota_RX,105.46
P. pseudota_RX,105.57
P. pseudota_RX,105.72
P. pseudota_RX,105.84
P. pseudota_RX,105.9
P. pseudota_RX,105.92
P. pseudota_RX,106.16
P. pseudota_RX,106.79
P. pseudota_RX,106.97
P. pseudota_RX,107.14
P. pseudota_RX,107.61
P. pseudota_RX,107.72
P. pseudota_RX,107.87
P. pseudota_RX,108.25
P. pseudota_RX,108.63
P. pseudota_RX,108.89
P. pseudota_RX,109.38
P. pseudota_RX,109.75
P. pseudota_RX,110.71
P. pseudota_RX,111.1
P. pseudota_RX,111.36
P. pseudota_RX,111.66
P. pseudota_RX,112.61
P. pseudota_RX,112.9
P. pseudota_RX,113.55
P. pseudota_RX,113.57
P. pseudota_RX,113.98
P. pseudota_RX,114.18
P. pseudota_RX,114.71
P. pseudota_RX,115.73
P. pseudota_RX,115.8
P. pseudota_RX,115.93
P. pseudota_RX,116.13
P. pseudota_RX,116.45
P. pseudota_RX,116.86
P. pseudota_RX,117.34
P. pseudota_RX,117.57
P. pseudota_RX,117.73
P. pseudota_RX,117.78
P. pseudota_RX,118.36
P. pseudota_RX,118.96
P. pseudota_RX,118.98
P. pseudota_RX,118.98
P. pseudota_RX,120.31
P. pseudota_RX,120.61
P. pseudota_RX,120.83
P. pseudota_RX,121.06
P. pseudota_RX,121.37
P. pseudota_RX,121.68
P. pseudota_RX,121.99
P. pseudota_RX,122.57
P. pseudota_RX,124.14
P. pseudota_RX,124.6
P. pseudota_RX,124.75
P. pseudota_RX,124.75
P. pseudota_RX,124.78
P. pseudota_RX,124.78
P. pseudota_RX,124.86
P. pseudota_RX,124.98
P. pseudota_RX,125.12
P. pseudota_RX,125.25
P. pseudota_RX,125.61
P. pseudota_RX,125.62
P. pseudota_RX,126.17
P. pseudota_RX,126.3
P. pseudota_RX,126.57
P. pseudota_RX,126.57
P. pseudota_RX,127.77
P. pseudota_RX,127.86
P. pseudota_RX,129.05
P. pseudota_RX,129.05
P. pseudota_RX,129.32
P. pseudota_RX,129.35
P. pseudota_RX,129.48
P. pseudota_RX,129.64
P. pseudota_RX,129.92
P. pseudota_RX,130.42
P. pseudota_RX,130.76
P. pseudota_RX,130.78
P. pseudota_RX,131.02
P. pseudota_RX,131.06
P. pseudota_RX,131.11
P. pseudota_RX,133.3
P. pseudota_RX,133.35
P. pseudota_RX,133.4
P. pseudota_RX,134.06
P. pseudota_RX,134.13
P. pseudota_RX,134.73
P. pseudota_RX,135.5
P. pseudota_RX,135.55
P. pseudota_RX,135.55
P. pseudota_RX,135.64
P. pseudota_RX,136.21
P. pseudota_RX,136.37
P. pseudota_RX,136.38
P. pseudota_RX,137.44
P. pseudota_RX,137.65
P. pseudota_RX,137.7
P. pseudota_RX,138.36
P. pseudota_RX,138.51
P. pseudota_RX,138.59
P. pseudota_RX,138.71
P. pseudota_RX,139.39
P. pseudota_RX,140.59
P. pseudota_RX,141.43
P. pseudota_RX,141.87
P. pseudota_RX,142
P. pseudota_RX,142.02
P. pseudota_RX,142.41
P. pseudota_RX,142.61
P. pseudota_RX,143.1
P. pseudota_RX,144.07
P. pseudota_RX,144.15
P. pseudota_RX,144.15
P. pseudota_RX,144.49
P. pseudota_RX,144.53
P. pseudota_RX,144.83
P. pseudota_RX,146.25
P. pseudota_RX,147.24
P. pseudota_RX,147.81
P. pseudota_RX,149.02
P. pseudota_RX,149.47
P. pseudota_RX,150.48
P. pseudota_RX,150.6
P. pseudota_RX,152.82
P. pseudota_RX,153.29
P. pseudota_RX,153.31
P. pseudota_RX,153.35
P. pseudota_RX,153.88
P. pseudota_RX,154.09
P. pseudota_RX,155.63
P. pseudota_RX,155.66
P. pseudota_RX,156.04
P. pseudota_RX,156.37
P. pseudota_RX,156.45
P. pseudota_RX,156.78
P. pseudota_RX,156.81
P. pseudota_RX,157
P. pseudota_RX,157
P. pseudota_RX,158.57
P. pseudota_RX,158.57
P. pseudota_RX,160.31
P. pseudota_RX,160.44
P. pseudota_RX,161.08
P. pseudota_RX,161.3
P. pseudota_RX,161.65
P. pseudota_RX,161.91
P. pseudota_RX,163.04
P. pseudota_RX,163.75
P. pseudota_RX,164.56
P. pseudota_RX,164.68
P. pseudota_RX,165.65
P. pseudota_RX,165.72
P. pseudota_RX,167.8
P. pseudota_RX,171.88
P. pseudota_RX,176.45
P. pseudota_VX,8.2
P. pseudota_VX,8.2
P. pseudota_VX,8.2
P. pseudota_VX,8.2
P. pseudota_VX,8.2
P. pseudota_VX,8.36
P. pseudota_VX,8.36
P. pseudota_VX,8.36
P. pseudota_VX,8.83
P. pseudota_VX,8.83
P. pseudota_VX,9.27
P. pseudota_VX,9.84
P. pseudota_VX,9.84
P. pseudota_VX,9.84
P. pseudota_VX,9.84
P. pseudota_VX,9.84
P. pseudota_VX,9.97
P. pseudota_VX,9.97
P. pseudota_VX,9.97
P. pseudota_VX,10.37
P. pseudota_VX,10.37
P. pseudota_VX,11
P. pseudota_VX,11.48
P. pseudota_VX,11.48
P. pseudota_VX,11.48
P. pseudota_VX,11.48
P. pseudota_VX,11.48
P. pseudota_VX,11.48
P. pseudota_VX,11.48
P. pseudota_VX,11.59
P. pseudota_VX,11.59
P. pseudota_VX,11.59
P. pseudota_VX,11.59
P. pseudota_VX,11.59
P. pseudota_VX,11.59
P. pseudota_VX,11.59
P. pseudota_VX,11.93
P. pseudota_VX,11.93
P. pseudota_VX,11.93
P. pseudota_VX,11.93
P. pseudota_VX,11.93
P. pseudota_VX,11.93
P. pseudota_VX,12.48
P. pseudota_VX,12.48
P. pseudota_VX,12.48
P. pseudota_VX,13.11
P. pseudota_VX,13.11
P. pseudota_VX,13.11
P. pseudota_VX,13.11
P. pseudota_VX,13.11
P. pseudota_VX,13.11
P. pseudota_VX,13.11
P. pseudota_VX,13.22
P. pseudota_VX,13.22
P. pseudota_VX,13.22
P. pseudota_VX,13.52
P. pseudota_VX,13.52
P. pseudota_VX,13.52
P. pseudota_VX,13.52
P. pseudota_VX,13.91
P. pseudota_VX,14.01
P. pseudota_VX,14.1
