Species,Feret
P.echinata,120.35
P.echinata,120.48
P.echinata,120.55
P.echinata,131.73
P.echinata,133.5
P.echinata,134.94
P.echinata,135
P.echinata,135.49
P.echinata,135.89
P.echinata,137.49
P.echinata,137.49
P.echinata,138.19
P.echinata,138.48
P.echinata,138.71
P.echinata,139.48
P.echinata,142.61
P.echinata,144.8
P.echinata,145.52
P.echinata,146.22
P.echinata,149.24
P.echinata,149.6
P.echinata,153.92
P.echinata,154.97
P.echinata,155.02
P.echinata,155.02
P.echinata,157.8
P.echinata,159.04
P.echinata,162.64
P.echinata,163.87
P.echinata,164.23
P.echinata,165.7
P.echinata,170.62
P.echinata,173.85
P.echinata,174.36
P.echinata,174.36
P.echinata,175.1
P.echinata,176.02
P.echinata,177.08
P.echinata,178.25
P.echinata,181
P.echinata,184.3
P.echinata,184.55
P.echinata,184.91
P.echinata,186.04
P.echinata,187.34
P.echinata,187.51
P.echinata,189.43
P.echinata,191.67
P.echinata,192.18
P.echinata,192.78
P.echinata,193.81
P.echinata,196.13
P.echinata,197.81
P.echinata,201.44
P.echinata,202.49
P.echinata,203.35
P.echinata,205.13
P.echinata,205.65
P.echinata,206.5
P.echinata,207.32
P.echinata,208.54
P.echinata,208.83
P.echinata,210.23
P.echinata,212.05
P.echinata,212.54
P.echinata,216.16
P.echinata,216.52
P.echinata,217.01
P.echinata,220.6
P.echinata,222.66
P.echinata,223.86
P.echinata,224.03
P.echinata,224.25
P.echinata,225.79
P.echinata,229.72
P.echinata,232.82
P.echinata,232.83
P.echinata,235.03
P.echinata,235.34
P.echinata,237.9
P.echinata,239.68
P.echinata,240.59
P.echinata,242.17
P.echinata,246.55
P.echinata,254.31
P.exalata,39.18
P.exalata,39.18
P.exalata,39.51
P.exalata,39.62
P.exalata,39.97
P.exalata,40.03
P.exalata,41.35
P.exalata,41.55
P.exalata,41.88
P.exalata,42.1
P.exalata,42.13
P.exalata,43.35
P.exalata,44.2
P.exalata,44.85
P.exalata,44.91
P.exalata,44.95
P.exalata,45.63
P.exalata,45.77
P.exalata,46.23
P.exalata,46.47
P.exalata,46.56
P.exalata,46.79
P.exalata,46.79
P.exalata,47.18
P.exalata,47.42
P.exalata,47.66
P.exalata,48.47
P.exalata,49.72
P.exalata,50.18
P.exalata,51.08
P.exalata,51.08
P.exalata,51.18
P.exalata,51.72
P.exalata,52.75
P.exalata,53.22
P.exalata,53.3
P.exalata,53.61
P.exalata,53.7
P.exalata,54.18
P.exalata,55.41
P.exalata,55.97
P.exalata,56.1
P.exalata,56.81
P.exalata,58.46
P.exalata,59.29
P.exalata,59.38
P.exalata,59.99
P.exalata,60.35
P.exalata,60.96
P.exalata,61.51
P.exalata,62.72
P.exalata,62.81
P.exalata,63.47
P.exalata,64.62
P.exalata,65.05
P.exalata,65.38
P.exalata,65.71
P.exalata,65.95
P.exalata,65.96
P.exalata,66.55
P.exalata,66.77
P.exalata,68.14
P.exalata,68.59
P.exalata,68.99
P.exalata,69.7
P.exalata,69.92
P.exalata,70
P.exalata,70.48
P.exalata,70.96
P.exalata,71.31
P.exalata,72.24
P.exalata,73.17
P.exalata,73.69
P.exalata,73.93
P.exalata,74.49
P.exalata,74.55
P.exalata,74.6
P.exalata,74.9
P.exalata,75.36
P.exalata,76.63
P.exalata,77.2
P.exalata,78.29
P.exalata,79.24
